OBJECTID,Postleitzahl,note,Einwohner:Innen,Gebietgröße in km²,Shape__Area,Shape__Length
2993,06642,"06642 Nebra, Kaiserpfalz",5249,65.645901,167439333.749512,103705.508817274
2994,99759,"99759 Sollstedt, Niedergebra, Großlohra",4843,54.047355,138770368.15918,104102.058879191
2995,99752,99752 Bleicherode,12237,129.149991,332218950.851563,152019.374370461
2996,99735,99735 Kleinfurra und Werther,4516,80.611255,207592748.662598,140350.648840911
2997,99734,99734 Nordhausen,42731,109.145829,281460556.102539,151739.82687497
2998,99755,99755 Ellrich,8099,130.228876,336730877.873535,176629.687357976
2999,99768,99768 Harztor,7881,109.502712,283335504.220703,123165.547595314
3000,99765,"99765 Heringen, Auleben, Görsbach, Hamma, Urbach, Uthleben, Windehausen",7059,100.196358,257725296.509277,97158.9225440545
3001,06528,"06528 Wallhausen, Blankenheim",6067,76.062077,195604656.119629,114293.836058202
3002,06526,06526 Sangerhausen,28932,208.463725,537662121.083984,187692.046738986
3003,06536,"06536 Südharz, Berga",11904,263.53113,680127639.396484,270688.775853656
3004,06537,06537 Kelbra (Kyffhäuser),3666,41.219931,105920140.28125,82539.0169757289
3005,06542,06542 Allstedt,8397,150.743473,387425337.644043,177606.293039484
3006,06268,"06268 Querfurt, Obhausen, Mücheln u.a.",19154,292.951091,749852342.339355,193590.059118347
3007,06638,06638 Karsdorf,1941,20.013259,51061510.0517578,47881.3844122395
3008,99713,99713 Ebeleben,7024,184.605588,471891024.913574,164855.933284394
3009,99706,99706 Sondershausen,22583,200.902565,514644135.888672,142178.621121187
3010,99718,99718 Greußen Clingen Großenehrich,9842,149.365758,381016741.265625,113203.539936455
3011,06567,06567 Bad Frankenhausen/Kyffhäuser,10307,91.0429,233270164.004395,84020.3384540964
3012,06577,"06577 An der Schmücke, Etzleben, Oberheldrungen",7539,114.056662,291313685.824219,107783.930712102
3013,06556,06556 Artern/Unstrut u.a.,9476,82.920639,212436264.685059,98278.8441197452
3014,06464,06464 Seeland,1446,12.842779,33517779.3818359,26946.4423117088
3015,06571,"06571 Roßleben-Wiehe, Gehofen",9184,86.108541,219944589.646484,94966.6783621457
3016,24944,24944 Flensburg,12779,6.120526,18403495.5322266,23848.6344717104
3017,24943,24943 Flensburg,26018,14.294514,42927041.2182617,35113.337363452
3018,24941,24941 Flensburg,10038,18.192668,54588622.5820313,42056.5179154588
3019,24939,24939 Flensburg,19980,6.092119,18310916.546875,28687.7749561602
3020,45468,45468 Mülheim an der Ruhr,21271,2.748307,7061023.15039063,15396.7569602106
3021,24937,24937 Flensburg,13476,4.283353,12862295.8081055,31861.0523492606
3022,23970,23970 Wismar,11255,50.479012,145156952.866211,115259.466661798
3023,23968,"23968 Barnekow, Gägelow u.a.",17207,98.260426,282522523.009766,94484.3476939439
3024,23966,"23966 Wismar, Groß Krankow u.a.",20772,32.362691,92804888.6982422,89907.4424243155
3025,23564,23564 Lübeck,19405,6.11733,17554115.5961914,33813.6825265187
3026,23562,23562 Lübeck,21513,18.788738,53851236.0722656,51244.3762145755
3027,23560,23560 Lübeck,21055,53.317303,152736295.625488,92268.2067558205
3028,44787,44787 Bochum,8368,1.311647,3378499.62304688,11294.4714129818
3029,23558,23558 Lübeck St. Lorenz-Süd und Buntekuh-Süd,26615,4.844439,13904332.4248047,20463.3768137477
3030,23566,23566 Lübeck,21089,12.819537,36821707.3564453,30302.6904558824
